title,sentence,score
Recomdation,"If you didn't know about Depeche Mode and you want do it without spend a lot of money on its entire discography, take a look to 101, a very representative album of the firts decade of Depeche Mode at the top of the techo music.",1
Power Cups,"The Presto Popcorn maker states you must use the PowerCup Concentrators. I made a lot of mistakes my first couple of weeks using this unit which destroyed the PowerCups very quickly. I found to get the longevity they say you can, I let the PowerCups cool down after use and then I take a dry cloth and wipe out and I'm done. Rinsing with water seems to make them breakdown faster and the biggest thing is to really watch your popping time. As soon as the popping slows down take out of the microwave. If you burn your popcorn you are also scorching the PowerCups which will also brakdown fast.",0
All educators should watch this,"This is a great DVD about understanding the learning disabled. I believe that all educators should watch this presentation, so when they have a learning disabled child in their class they would be more understanding and helpful.",1
Anhorman dvd,"I bought this DVd for my partner for his birthday , it didnt work in any of our dvd players and we have fairly new ones that cover all regions. then when i looked up a contact to try to return it , this proved hard within itself so gave up - so my experience with Amazon and the dvd was very average and poor.",0
Gary's Valentines,"I got this book the other day here on Amazon and I couldn't put it down. Especially during his years with Blondie which were from my point of view the most interesting stories in this book. He has a lot of crazy, funny, scary, and sad stories to tell in this book and they are very entertaining and gripping to read. I couldn't put it down. I had to know more. I love his insight into the whole scene from that period. He links the glitter period to the punk period and back again very well.Read this book.",1
Useful,"Simple to use when needed. Small enough to easily carry in luggage. If you don't NEED an ELEPHANT, then why BUY one!",1
STAY AWAY,"This book is FULL of typos that render the book confusing and useless. Don't waste your time, or your money.",0
Muddled ending disapoints,"The good: The basic plot line is interesting- a man who has just been killed by the electric chair has his finger print turn up at a murder scene. The writing itself is good. The main character Kay Scarpetta and an old professor of hers are well `fleshed out'.The bad: Other characters are not well `fleshed out'. The plot never fully explains itself. Is the book about figuring out how a dead criminal could commit crimes - or is it about Scarpetta - redeeming herself in the eyes of everyone around her - after developing an anti-social workaholic tendency after the death of a loved one? The latter seems to be the path the author choose - leaving some of the twist in the plot unresolved. Though others in the story have made Scarpetta out to be the villain (on many different levels - as a family member, as a friend and as a professional) in the end her `goodness' is redeemed. How the bad guys in the story turn out seems to be unimportant - which I found to be a major flaw.",0
Raves for HP,"I bought this for my mother...she loves it! Its easy for her to use and the screen is large enough for her to view. The print quality is excellent. I got more (merchandise and quality) with this HP brand than I would had with any other brand. The price was excellent too. Good job Hewlett Packard for making me a ""smart"" person!",1
Not for me,My first problem with this band is the singer. He just tries too hard. It's full of cliches and bringing in famous Reggae names to collaborate doesn't help. It might help catch people's attention but this is just re-heated stuff.There's so much good Reggae out there that this is just not enough for me. Maybe if you're new to Reggae... Next!,0
Life is what it looks like at first glance,"nice movie about corrupt politicians, whether they be Democrat, Republican or Green Party. A good case for term limits.Nice to see a movie about old school schools and about how well meaning teachers who want to give promising but failing students an extra boost at other, more deserving student's expense.If anyone learns a lesson in this movie, it is the teacher who learns that bad boys grow up to be bad men, and smart, forgiving boys grow up to be smart, forgiving men.",1
terrible,was advertised as having a loud alarm=you can hear it if you hold it up to either ear very closely=this product is a high priced rip-off=a two dollar timer works much better!,0
Works for 6 months..,"then the heating element dies. I have had two now, one was a replacement after the first went out (7 months of use) and now the replacement died after 5 months.Nice idea, but it doesn't hold up. And the cleaning and drying gets old....",0
Great workout,"This is a great workout that is definitely geared toward an intermediate to advanced practitioner, at bare minimum a beginner with a high degree of flexibility. Even the beginner flow (39 min long) includes some poses that you may not get the first time you try the DVD. There are 2 other flows that are 70 and 71 minutes respectively. These flows provide a great mix of beginner, intermediate, and advance poses done in a flow that will more than likely make you sweat. The DVD also includes a section with 20 or so poses that gets very detailed about how to enter and hold the poses. Overall the DVD quality is good and the instructor is excellent. I would suggest at least several years of experience before trying this DVD unless you have a gymnastics, a dance background, or a good enough understanding of yoga to otherwise be able to modify some of the poses to suit your level.",1
Quality you can afford,"I've purchased many of these items 7 months ago from Amazon. They're affordable, quality fine china, plus they offer many variations on this line. Even with Macy's super sale, Amazon still beat their price by several dollars, plus they were delivered perfectly.",1
"Sick, disturbing, but intelligent","I would never read this book again, it turned my stomach, made me want to throw up, and had me wanting to skip scenes in the book. That said, I believe the book is a work of genius, sick genius, but genius none the less. I think the way it's told, gives a literary quality, and the way the story unfolds does it justice as well.",1
Easy accesses,"Many people use their cell phones with some of this information but being in real estate I categorize all my attorneys,brokers, contractors, inspectors, active & general clients, doctors, etc........most cell phones won't let me do all this and my present Palm is ""on the way out""and trying to replace a new battery was just too confusing, so I had to get a new one...Maybe the updated Palms make this easier ..I'm sure that there are many other functions for this Palm but I do love it for my use.",1
Outdated inormation,"This edition is too old to be useful. Get the 2006 edition by Ackerman, also sold by Amazon.The new edition is excellent and has all the huge changes in Federal Law Enforcement since 9/11 and the formation of Homeland Security. New agency names, new organizational structure, new priorities, all that is in the new edition and not in this one.",0
One of God's Little Angel,"Mattie, I can see what a kind, caring, spirit, you have when I saw you on TV. Reading about and looking at you on TV let me see his inner spirit. God has a job for him to do to show us that we can go on with our lives. He is special I know to his mother. I have listen to him on the TV and he is telling us a lot if we/you listen to what he is telling us. Mattie, I am also disable, but I refuse to let anything stop me from writing. I hope you will be happy and you can make others happy through your writing. Keep up the good work. God bless you and your family Mattie.",1
Love it!,"I love this video. Have been working out with it since January of this year. It was the first (cardio) home video I ever purchased that I felt really got my heart rate up and made me feel great afterwards.Lesie is chatty but I like her, she is down to earth and encouraging. I will definitely invest in more of her tapes at some point. Oh yeah, and her tapes are low impact so easy on the knees which is good for me. This is good too because you can use weights (hand weights or her weighted balls, I just use hand weights) with the video if you want or opt not to. It's nice to have the option!",1
Oh Hell Yes!,"I saw this film on Youtube a while ago(I have it bookmarked), and the subtitles are iffy and the quality is on the 50/50 side, but never the less, it rocked. The acting was good, the action was amazing, the designs were incredible, and the script mixed in old elements with a new feel.This film is not even close to ""Ultraman The Next"" impressiveness(which is up there with Spiderman and X2 as one of the best superhero movies ever made), but it is still great entertainment. Honesly, you don't even need to like KR to enjoy this film.",1
"shut up and sing, dammit!","The first time I listened to this album, I was expecting an Ani album, and I was sorely disappointed; as has been mentioned, this is a Utah album, not an Ani album. However, these are still some great songs, and the only bad thing I can say about this and the other Ani&Utah show (""Fellow Workers"") is that Utah needs to shut up and sing - when he sings, he is much more enthralling; his speaking voice sometimes borders on numbing.",1
Beautiful Cards,I have found these Oracle cards a beauty to behold as well as inspiring to use - they are a great sustenance if used according to the author's guidelines and in the spirit in which they are meant.,1
A dissapointment,"I bought this DVD based on positive reviews, however I personally feel it doesn't live up to expectations of a 2008 film. The DVD mentions reincarnation and past life memories, near death experiences, etc. However, it MENTIONS them, but does not SHOW any evidence, even anecdotal. There are LOTS of cases of past life memories in children, lots of cases of psychic abilities, lots of cases of near death experiences, etc., but this DVD does not interview any of them. The DVD is as it is. What it is however is just a 'story' with no 'characters.'",0
feed back,"I like Amazon it is really fast on the product I had bought. I ordered a dvd on July 8th, it was shipped on July10th and I recieved it on July12th. That was fast and I will do business with them again.And everything came ok, nothing was damage. Also the DVD's were all good and nothing wrong with them. Wanda",1
Alex water drum,My 2 year old was able to play with one of the drums but the other arrived cracked. She liked it but tended to turn the drum over to fill with water and play that way rather than beat the drum.,0
Sam,"I love this movie. Just reading it without seeing it on the back of some dvd case -You wouldn't think much of it. In my opinion,this is one of the greatest movies I've seen in a long time.",1
Unmemorable,"When I started listening about this album and the first couple of songs started sounding on the radio, I dislike it.Later, right after they won the shortlist award, I though of listen it again to see if I had missed something. In deed, there was something complex and enigmatic about the album. So I followed my instincts and bought the CD.I played it a few times and the magic started to disappear. It faded to Arcade Fire's Funeral and Nada Surf's Let Go, which I bought simultaneously.There's creativity and feeling within the songs, but they all lack of that crucial moment that turn a song sublime and worthy to be repeated for days and days.",0
Cheesy 80's bad.,"Wow, where to start. If you are looking for a solid documentary this isn't your video. If you are looking for some 80's nostalgia then this is definitely all you! Some of the kooky people giving interviews are hysterical.",0
Breathtaking survey of modern contempary work,"This book is exceptional! Not only does it provide a excellent overview of traditional oriental techniques, but shows modern interpretations, by several top contempoary Asian artists. The work of the two authors is simply breathtaking. It is beautifully produced, and offers a visual feast. There are many books which show how to hold an oriental brush - this book invites readers to apply traditional techniques as tools of expression. It is one of my favouite all time books and and I find something new and fresh each time I look at it.",1
It was fun.,"I like Courtney Love, still love Hole's CDs. I enjoyed the read, but took it with about a pound of salt. Poppy Z. Brite should get some kind of award for how much she can kiss Courtney's ass.Fun fluff.The Courtney Bio by Melissa Rossi is better.",1
Best quality and value,"These wine glasses are elegant, enhance the overall wine drinking experience and yet are much more affordable than other, more popular glasses. I highly recommend this product.",1
Shipped as european standard,"I ordered this camera mount with the assumption that all tripod screws are the same size. Apparently, the European screw is about twice as big as the American standard size. So, lucky me, I get a mount that is made for a European tripod. I had to buy an adapter for the mount to be able to screw onto an American standard tripod.Here's the short version: Make sure you specify which version you want! If you're in America, make sure you say you want the American standard size mount!",0
New insights,Mike makes it easy to see the future in a new way. He takes principles that we have all heard and makes them easy to understand and apply. Who knew accountants could be so deep?,1
Got to have it. !!,If you like the new 2009 TV Series V...then you have to have this in your Collection to really see the evolution how this show from the past has evolved into a great TV series.,1
Starship Troopers disc will not load,"My gripe is not with the movies, but with the disc. The first disc ""Starship Troopers"" would not load in my Sony bluray player after 10 minutes. ST2 and ST3 loaded within a minute. My bluray player has the latest firmware updates, and I have never experienced a disc not loading.",0
scripture of a demon,"to be honest, this book is exactly what is wrong with society. This should be the book of how not to live your life. It is written, it seems, with bad intentions. I do not recomend this book.",0
"lame, boring, and not challenging in any way","I was thinking, from reading the instruction booklet first, that this game might be like ""Dr Mario"" (a game my family LOVES). Well...let's just say that I beat the whole thing by moving my stylus up and down the touch screen madly. And I did it in an hour. My son said, ""this is the dumbest game I have ever played!""Maybe I'm too stupid to get the strategy of it all. Or too impatient. I don't know. Don't waste your money...rent it first if you really want to try it.",0
"Welcome back, Gloria","Gloria has finally given those of us who are not fluent in Spanish something to chew on. This album is both subtle and daring in its combinations of latin rhythms and basic grooves. Tracks like ""Te Amare"" tame your need for an upbeat danceable tune while ""In the Meantime"" gives your soul something to reflect on. Right there in between the two is ""Wrapped,"" the first single off the album which is an excellent blend of both extremes. Great job Gloria - you definitely still have it after all these years!",1
Booda Big Daddy Floppy Disc,"The Booda Big Daddy Floppy Disc is the best for a large dog that loves to play frisbee. It is durable, easy to control and through, and it is soft sided and flexible so that it does not irritate the dogs mouth. This is the second one I have had, the first one lasted two years and was used several times a day. I've tried every flying disc on the market (that I could find) and this is by far the favorite for my German Shepherd Maggie May and I,(The 12 inch one is the best, because it handles and flys where it is directed). I had a hard time finding another one. Thank You Amazon for making Maggie May's Christmas so special!",1
"Cluttered, Too much information","Not sure what happened to my original review, so I'm writing again in hopes of saving someone some money on this book.It seems like this author is very obsessive/compulsive--just look at how many chapters and subtitles are listed--couldn't quite identify where the ""5 steps"" were supposed to be in all of this. I am reading this on Kindle, 45% into it and at first I got a few good tips, but as the book went on, it was just a bit too much.This book appears to be the author cramming everything she ever knew about food into one book and what she suggests to do would take a very long time--I mean years. If you are willing to pick this book apart and do everything and spend years doing it, go for it. But if you are looking for practical things that can be done and change that can happen in a reasonable amount of time, this isn't it.",0
"Backbone of the Wehrmacht, Vol. II: Sniper Variations of the German K98k Rifle","A great attempt when first published. I knew Richard Law and admired his work. The book is now very dated, with many mistakes and some rifles that are outright fakes. There is no chance of an updated edition since Richard died many years ago.",0
Not for a Novice,"The book is disjointed. The early section tries to explain FrontPage 2003 contrasting it with earlier versions. Because the changes are here and there, this section is incoherent. Later sections work better but the big picture is missing. Not a book for a beginner learning to use FrontPage. FrontPage on the other hand is relatively intuitive building on menu and file structures learned in Word. It is a powerful, useful, program. The book is throughly written just too many purposes. I would have been better served by a structure that started with here is a web page -- you can do it five ways, here is the quickest...",0
Pure Junk,Ditto to the other reviews. Misleading packaging. This is a worthless program that takes forever to load.,0
Truly Poetry for All Seasons,"This is one of the most beautiful books of poetry I've ever read, and I've read a lot of poetry collections working in an elementary school library. Children of all ages appreciate these poems, many of them haiku, by Japanese masters of the art of brief imagery. If your kids think poetry isn't really poetry unless it rhymes, share this book with them. Demi's incredibly lovely paintings enhance the beauty and idea of each poem. This sweet book inspires kids to try writing their own poetry.",1
I'm not a Beach Boy's fan...,"So I don't regularly listen to The Beach Boys, but since some of my friends(there's a group that hangs out a lot and we always listen to music) really likes them and I found the volume on sale, I decided to pick it up. We listened to it once, and never pulled it out again. I don't really remember exactly why we never took it out again, but we just didn't care for it.",0
Zach,"I truly enjoyed the book, the emotions were real, the language real and the long love scene between Gray and Jenn had me laughing. I loved the author's sense of humor by putting a time line in it! The Malvaso family felt very real with their differences, yet strong love for each other.I was left wondering about Zach and where his life is going now. I also wanted to understand Casey Brennan better. Perhaps in another book?",1
Great introduction.,"I became interested in Genetic Programming after hearing one of the professors at our university lecture on it to a small group of students and other professors. I asked what book might be a good starting point and he pointed me here and i'm glad he did.This first volume in the Genetic Programming series of books by Koza is very well organized and clear in its explanations. I have not tried the techniques presented yet, but I have some good ideas on how to proceed. The author uses LISP as the language of choice in the book, but practically any modern language should be sufficient.If you have any interest in Genetic Programming, I encourage you to at least pick up this first volume and read through it. This technology is still relatively new and the application of the techniques seems virtually limitless.",1
Binding of the Book,"I like the contents of the book just fine. The print is easy to read, and the poems are laid out nicely. But the glued binding of this book is going to go quickly. The first time I opened the book I could feel its flimsiness. Soon, I am sure, I'm going to be left with nothing but chunks of book.Are there not any books that are still stitched together?Christiana Mollin",0
Author's other books are better,"This book does not begin to measure up to the author's earlier book, The Magic of Crazy Quilting (which is stunning and admittedly a tough act to follow!) While the Magic of Crazy Quilting is jam-packed with techniques, stitch instructions and contains only a few quilts this book contains a variety of quilts and other projects with suggestions for piecing them but no instructions for specific embroidery stitches etc.It does discuss a variety of ways of doing piecing for crazy quilting. The variety of projects give alternative colour schemes etc. but none are particularly inspirational.This is a good book to borrow from the library or to purchase at a discount clearance price. However, I would not pay full price for it.",1
okay but it's no THROW MAMMMA FROM THE TRAIN.,"Robin Williams, playing the third deranged character he's played this year(after INSOMNIA and before ONE HOUR PHOTO), stars as Rainbow Randolph, a beloved but corrupt kids TV show star in the vein of what Barney could be in real life (who's under that suit anyway?). Anyway, rainbow is fired for accepting bribes. He is replaced by the earnest Sheldon Mopes (Edward Norton; FIGHT CLUB) and his persona of Smoochy the Rhino. This doesn't bode well for Rainbow Rudolph and he plots revenge on Smoochy. Sound ridiculous? It is.But it's meant to be. This isn't a great comedy but it has its moments. However, I expected more from the talent involved. I thought Danny Devito made a great comedy with THROW MAMMA FROM THE TRAIN and I guess I just wanted this film to be a little more like that one. Not bad, worth a rental just for Norton and Williams performances.",0
Dated but Critical Text,"Although this book was written in 1950, the text is still critical. I used the section on direct-contact heat exchangers to design a contact condenser back in 2002. The text is still relevant, the examples current and useful, and some calculation methods still not covered properly in more advanced text. I should point out that although some of the equations are old, they are simplier to use than newer text and require fewer inputs. Besides, when are you going to need calculations accurate to beyond 90%?If this review was helpful, please add your vote -- Thanks.",1
Lying Seller,"I tried to cancel the order, but they said it has been shipped. I was cancelling on October 13, 2006, but the package labeled that it was shipped on October 17, 2006. How can it be shipped 4 days after it was shipped?",0
Valentine by Tom Savage,I enjoyed this book. I am a mystery book fan and was not disappointed with this book. I'm going to look for more of his books.,1
bad sale,this ppl from amazon not even notice u that this battery doesnt work for the camera u bought as a combo and even know that is going aout of the country now im stock with this battery,0
Nice,"This is a nice machine just to mow your lawn and get rid of the grass in the bag easily afterward.Electric machine is recommended over gas so I never tried a gas one, so I cannot provide a comparison between gas and electric mower.I had this mower just over a year, just recently it wouldn't start and got it fixed under warranty from Black & Decker authorized place. Took about a week and then it's running without problem again.The price is good and it's an old brand that's why I bought it.Get it for what I wanted and I am happy with it.",1
If I could give this 0 stars I would,"Judge Dredd is a symbol of justice, a man who is judge, jury and executioner. He gives the creeps a warning then beats them up a lot, arrests them or just blows them away.He does not stand aroudn striking a poncy pose or takes his hat off after 5 minutes. He clobbers people with a night stick.This film is a wasted license and possibly the worst big budget action film for many years (not counting any Steven Seagal films). If Judge Dredd did exist he would arrest the entire production crew, especially the writers.A waste.",0
Loved it until...,"I have had this griddle for about six years and noticed a few years ago that it appeared to have a little warp but no big deal - still a great griddle. Now, it's warped so badly that much of the surface doesn't lie flat on either burner. Very disappointed, since I bought this item expecting to keep it sort of ""forever"".",0
Wein Customer Service is Unresponsive!,"I bought this item to use with my Nikon D200 and a ProFoto studio flash. It seemed like everything plugged in okay, but the flash synch is not reliable. It works perhaps 25%. I've sent Wein three e-mails about this, but all have been apparently ignored. Also, this item is not very durable, even if it did work reliably. It is definitely not up to professional standards.",0
Prepare for Full Dynamics,"This CD offers a very nice slice of Igor's output--it's esp. good to have a complete, original 1910 version of ""The Firebird,"" (thought I'll admit to being a little disappointed with the rendering of that great, whirling passage in the Introduction that must have been pinched for the opening bar of the ancient ""Batman"" TV series...).And it's a good value for two discs.But be warned: the recording sounds excellent, but it is done with ""full dynamic range""; I have to double the volume to hear the quiet passages, and then the loud moments become earth-shaking. Yes, I've tried both discs in multiple stereo systems. I don't mind this kind of fully-immersed listening from time to time, but it is not always convenient, and this disc suffers for that. I hope the very pure are not dissuaded by this complaint--I salute you for supporting the producer's boldness, and ignoring this listener's timidity.",1
Careful of the weight !!!,"While the overall construction of these mounts is pretty good, the weight rating is questionable. I tried to use these with MK LCR950's which were near the 20 lb. mark and they simply didn't work. The speakers put too much of a load on the ball to get it to clamp properly. They were also not easily adjusted, since the plastic ball was deformed once clamped and making a minor adjustment was no longer possible. I did use the ceiling mount version for the smaller siblings to these speakers and they worked fine. Other review recommending derating these by 50% is probably pretty accurate.",0
Complete Joinery Guide.* * * * * * * * * *,"One of the most complete guides to joinery I have ever seen, in my approximate 50 years of doing woodwork.The book covers, Dovetails,Finger Joints.Mortises and Tenons,Rabbets,Dadoes and Grooves,Scarf Joints and Lap and Bridle Joints. Also gives a rundown on Hand Tools, Portable Hand Tools, Machines,Butt Joints and Mitre Joints.Clear professional photos and sketches.A Complete Coloured, Illustrated Guide to Joinery.",1
Overrated,"A book pretentious people will moon over, but for my money poorly written and vastly overrated.",0
Horrible book! 0 stars,"I love Katherine Sutcliffe, but this book was so horrible that I could not even finish it. I skipped and skimmed until the end. It's going straight to the trash can.The heroine Destiny was an evil person! She actually thought she may have killed the hero and did not even go back to check on him. She had no remorse and did not feel very guilty about it. Then when she and her annoying aunt go aboard the hero's ship, and discover that the hero is the captain-the aunt shoots him! Destiny doesn't even show that she cares that the stupid aunt shot him, while he is trying to save her father and everything. I HATED Destiny and her aunt's characters. This book was just terrible.",0
Got a dud,"It appears to me that this product is hit or miss with the transmit power. For me, it was a miss. I could get it to work somewhat to perhaps 6 feet, but even that was quite weak. I had to crank up my radio to max volume to get a useable signal. I tried some suggestions found here and elsewhere, but nothing worked. Called the company and they tried to help, but really could offer no additional suggestions. I gave it 3 stars since it seems that I got a dud and Amazon was great with the return - full refund.",0
NIGHT WOLF LACKS BITE,"Set in the murky English countryside, NIGHT WOLF could have been a worthy werewolf saga. The operable word here is COULD; poor lighting, a muddled, predictable script and weak performances sabotage the film's effectiveness. The effects are likewise unimaginative and the movie employs lots of screaming and jittery camera work to elicit the suspense.Isabella Calthorpe and REVENGE's Joshua Bowman struggle but can't overcome the material. AMERICAN WEREWOLF and THE HOWLING are still the most enjoyable wolf-tales. Watch them instead.",0
Just before Weather Report...,"Just as Wayne, Miroslav Vitous, and Joe Zawinul were about to become Weather Report (Alphonse Mouzon and Airto Moriera were the other founding members) each had a solo album hit the streets. Of the three (""Iska"", Vitous' ""infinite Search"" and ""Zawinul"") the most remarkable was Vitous' debut, but it was truly a landmark of fusion.""Iska"" has never been as popular, and has been only sporadically available on vinyl and CD. The ""spacey"" first three cuts (the vinyl's first side) lose focus sometimes, but are interesting explorations of color and texture that characterized some of Miles' studio work at the time.The closing ""Joy"" is another fusion landmark, though; the two-bass two-drummer rhythm section puts the hammer down, and part way through, Wayne switches from tenor back to soprano and tears several new windows in his listeners' heads.BTW, Leonard Feather's original liner notes refered to the new supergroup-to-come as ""Weather FORECAST""!.RFGS",1
"MICHEAL J FOX/PETER JACKSON/COMEDY/HORROR. SURE, WHY NOT.","The reviews were very good. Fox and Jackson--what's not to like? So, I took a chance.It had it's moments. It wasn't bad, but, it wasn't as good as I anticipated. 3 1/2 stars because this movie is a little bit better than OK. I will post 3 stars.For a good PETER JACKSON movie, I will recommend DEAD ALIVE. That movie is some MAJOR COMEDY/HORROR (VERY GRAPHIC FLESH EATING ZOMBIE MOVIE).",0
No Microsoft Office replacement.,"What iWorks does great is what Apple does great, it goes to the hard to do things and attacks them with avengance. Everyone can type a work processing document, but what about create a great looking resume, a great promotional flyer for a club, or even stellar presentations? iWorks adds a visual flare to the world of presentations, but it lacks in one major area: a decent word processor. While Pages does an awsome job at creating art, when it comes down to putting a paper together it's odd and cumbersome to operate.In the end I recomend this application if you want help creating advertisements, flyers, and presentations like how iMovie helped you with making movies.",1
"OK, but the Mann book is better","I had mixed feelings about this book. On the one hand, Tyler's attmepts to punch up the book by including details he could not possibly know about(see his blow by blow description of the fighting on the Sino/Soviet as seen from the perspective of a hapless Soviet lieutenant) recalls some of the worst excesses of Bob Woodward. On the other hand, Tyler does a great job of showing how internal forces within the various administrations combined to form China policy. The descriptions of Kissinger Vs Rojers and Vance Vs Berezinski are well worth reading. On the whole, however, I feel that James Mann's About Face is a better book, and covers much of the same material. If you have time read both, if not go with the Mann book.",0
Appropriately Named,"I have make several of the recipes in this book and they ALL have turned out fabulous. Some of my friends even offered me money for the cakes. As far as the reveiwers that mentioned the liquors, I couldn't disagree more. Yes there are some that use liquor, but, not all of them use it. The liquor based ones that I have made were not strong to me, but they might be to someone that is sensitive. In my opinion, the alcohol cooks off in the cooking prosses, so what is left the the flavor of the liqour it's self.I would suggest that you put a little more sugar in the filling or in the crust, if you like it sweet. Also, I like to put some brown sugar in the filling, even if the recipe does not call for it. It adds a wonderful rich color to the cakes.",1
"Boy Hits Car, the rebirth of Rage Against The Machine.","When I picked up their sampler from a concert for the Deftones and heard it, I was impressed. But when I downloaded a few of the songs on this album, I had to buy the CD. After having done so, I can tell you that I don't regret it. The lead singer (an 12 string acoustic guitarist!) sounds like Serj Tankian (SoaD) and Zack De La Rocha (RaTM) into one human powder keg! The bass is in full form and I am drawn into to the melody they use. Loud as hell and soft as heaven, I am a BIG fan of this band. Get this CD. Trust me.",1
"Great first season, hopefully not the last",Great for the first season. Helps you understand and see how our country came to be based on the backs of a few. When you watch you see that a lot of the problems and feelings back in the 1800s are still present today. I hope History continues this series until modern day. I'd love to see from 1920s-2000s and the computer age. That would be great. It was 4 stars because I don't know if this will be the last season. I definitely recommend anyone watch this who is interested in American history.,1
Palm One Zire 31,Don't buy this product. It didn't work right from the beginning and completely failed after 5 months.It only has a 90 day warranty and they would do nothing for me. It is now in the trash.,0
Use very lightly,"I was trying to bust rust and clean up a Jeep and to get into tight spaces, so I got these. With hard build up of pretty much anything, the wires will come flying out and fly like mini missiles with high RPM's. They will get stuck in your skin. Wear eye protection.",0
Old and Brittle,"Rated as good yet the one I got was old, yellowing and brittle. Not as described and regret purchase.",0
Clock/Radio/Phone Poor Reception,"If you plan to use the radio, do not buy this product! The station does not stay fixed. Wake up to static every morning and have to readjust the station. Continuously changes and has to be readjusted.",0
Wellements Protien,"Good product, but the service was even better. I highly recomend this seller and the product also. The protien powder really doesn't have a lot of taste though. Good quality though",1
Contrived,"Jane Smiley's ""A Thousand Acres"" is a clumsy retelling of the old King Lear story set in midwestern USA farm country. The story is too contrived at times; odd things happen that seem were written just to make the story fit in with the King Lear premise. There are no characters that I came away caring about; Smiley plays with our emotions too much by hiding important developments until the last minute, and being too quick to send the plot through chaotic twists and turns. It feels voyeuristic; you watch these people's lives but at the end you haven't really accomplished anything. Smiley is a talented writer (try ""Moo"") but this book certainly did not deserve the Pulitzer Prize.",0
Does Anyone Know the Plot of This One?,"I don't know what this one is about, but I will say that the drawing is MUCH more realistic. In all the the new books the covers are terrible, especially Sterling's Second Chance and Christina's Courage. Sterling looks like a Percheron and the tack and clothes are all wrong. Anyway, good job!",1
These speakers are HORRIBLE,"I bought these speakers thinking ""hmm... with USB i wont need a soundcard"" .. well things dont always work out like they are supposed to. Yea, you dont need a soundcard to use these speakers. What you do need is a 800000 mhz computer with a few gigs of RAM. Seriously, these things ate up so many of my computers resources that I was unable to multitask anything. I couldnt even surf the net when i was listening to music, and if i even had the things plugged in i could forget about burning a CD. I wasted 5 blank cds before i realized what my problem was. I am running a P3 800 mhz with 128 megs of ram.. i should think i have enough power to listen to music AND check my email, but with these speakers its not possible. I finally took them back and bought a Turtle beach Montigo 2 Quadzilla soundcard and Some AWESOME monsoon flat panel speakers.. save yourself some greif and stay away from the yamaha USB speakers.",0
"Excuse me, but haven't we read these before?","Houston is back, carping on about the same subjects--the river, the tranquility, the men who disappoint her. This time, though, it looks like she's put in some time on the couch--there's an eerie, Stuart Smalley feeling running through these stories--""We're smart enough, we're good enough, and gosh darn it, people like me!"" Her observations, the sly humor, everything that made ""Cowboys"" the great read it is seem dull here, and I think it's because there is nothing new in any of this--it's merely more ""Cowboys,"" and frankly, this reader has had enough.",0
Decent Introduction,"In general, this is a decent book (considering the general availability and quality of books for Shona), but there are some serious problems with the general structure and pedagogical approach, in my opinion. For instance, one section discusses the fact that certain letter combinations in Shona have a very non-intuitive pronunciation, and lists some examples--but it doesn't provide an actual pronunciation! So all you can learn is that your intuition will be wrong, but not what is correct! Omissions like this make the book nice for a Shona book, but quite poor for a language learning resource in general.",0
"I could bear it, but seriously- PLAGIARIZE LOTR","It's pretty impressive to write a novel when your fifteen, I'll give him credit for his effort. But seriously Paolini, use your imaginations a little, try not to make your book SOOOO INCREDIBLY OBIVIOUS THAT IT'S COPYING LOTR, STAR WARS AND HARRY POTTER. For starters, come up with not-so-obivious names instead of Arya(Arwen) and Eragon(Aragorn, Dragon). secondly, don't make your magical creatures so obivious such as Urgals, elves, dwarves and shades. Thirdly, make your dialogue mature but at the same time don't struggle with its maturity, because your dialogues have the feeling that some are mature, while others sounded foolish.Magical creatures doesn't have to be Elves, Dwarves and dragons only, stretch your own imagination, find some Other more original magical creatures, I'm sure you can do it with your writing skill. but you need to improve your story-telling skill.",0
Love it!,This is the best Saturday morning cartoon CD! I love that they had 90's alt rock bands give all my faves growing up a new version.,1
"""Digital Copy"" is misleading","***Note: This is a review of this DVD format and not the movie itself.***Was disappointed to find that the digital copy does not work with your ipod or computer only a PSP! I have ordered DVD's before that came with ""digital copy"" and have never had this problem before.Had I known that it was not the digital format I required I would have saved the extra $9 and bought the regular DVD. This restriction is NOT clear in the product description. If you were to purchase it in the store you will see a small note on the front cover that mentions it is a digital copy for your Playstation 3, but when purchasing online it is pretty much impossible to see on the photo. I am going to contact Amazon customer service and let them know they need to update the description to include this info.",0
The Complete UML Training Course,"This is NOT a training course. It's an out-of-date reference manual. I contacted the seller, but he never responded. I am much more careful now when I order from Amazon or its sellers.",0
My bad?,"Perhaps it's my misunderstanding of the purpose of this book. or the implication of the title. In sum, it's stuffed with pretty pictures of overdecorated spaces - and nothing, & I mean N-O-T-H-I-N-G remotely useful for utilizing small spaces.I thought I was purchasing a book on interior design, instead, it's strictly interior decoration - & more often than not - embarrassingly self-conscience decoration at that. A complete & utter waste of money for anyone researching small space design solutions.",0
ok,"i bought this product because i wanted a kit and thats what it showed and said but when shipped only bag wow!, repoff",0
A great Book,"This great book I read years ago. Hawkin being an internationally acclaimed scientists has used the best of his knowledge and skill in this book. Besides, he has precisely depicted a brief history of science too. This combination of history and science has made this book exceptional. I have read his recent book also that is not that interesting. One aspect fascinated me much that was description of solar system and the thought of ancient people about the rotation of the earth. Moreover this book questions the Holy Bible.",1
